name,cost_per_unit,unit,par_level,reorder_threshold,lead_time_days,shelf_life_days
Potatoes,0.5,kg,100,20,1,14
Tomatoes,1.2,kg,50,10,1,7
Lettuce,0.8,head,30,5,1,5
Onions,0.4,kg,40,10,2,20
Beef Steak,15.0,kg,20,5,2,5
Chicken,5.0,kg,40,10,2,4
Seafood Mix,12.0,kg,30,5,1,3
Eggs,0.2,unit,200,50,2,21
Rice (Bomba),2.0,kg,50,10,5,180
Olive Oil,6.0,L,20,5,3,365
Flour,0.8,kg,50,10,3,180
Beer Keg (30L),60.0,keg,10,2,2,60
Wine Bottle (Red),5.0,btl,60,12,3,365
Sangria Mix,3.0,L,20,5,2,30
Coffee Beans,12.0,kg,10,2,5,90
