date,ingredient,quantity_used
2025-01-01,Wine Bottle (Red),15.75
2025-01-01,Rice (Bomba),61.206
2025-01-01,Seafood Mix,105.0
2025-01-01,Olive Oil,24.25
2025-01-01,Sangria Mix,80.0
2025-01-01,Coffee Beans,1.6362
2025-01-01,Chicken,12.019
2025-01-01,Potatoes,18.786
2025-01-01,Lettuce,3.7
2025-01-01,Beer Keg (30L),41.1
2025-01-01,Eggs,63.0
2025-01-01,Onions,2.1
2025-01-01,Beef Steak,0.9
2025-01-02,Beer Keg (30L),39.6
2025-01-02,Rice (Bomba),65.2965
2025-01-02,Seafood Mix,112.55
2025-01-02,Olive Oil,25.9
2025-01-02,Coffee Beans,1.621
2025-01-02,Sangria Mix,106.0
2025-01-02,Wine Bottle (Red),14.25
2025-01-02,Beef Steak,0.6
2025-01-02,Potatoes,16.564
2025-01-02,Chicken,9.797
2025-01-02,Lettuce,2.7
2025-01-02,Eggs,57.0
2025-01-02,Onions,1.9
2025-01-03,Rice (Bomba),67.569
2025-01-03,Seafood Mix,116.5
2025-01-03,Olive Oil,26.4
2025-01-03,Beer Keg (30L),43.2
2025-01-03,Sangria Mix,107.0
2025-01-03,Wine Bottle (Red),20.25
2025-01-03,Coffee Beans,1.6665
2025-01-03,Chicken,9.494
2025-01-03,Potatoes,13.938
2025-01-03,Lettuce,2.6
2025-01-03,Eggs,54.0
2025-01-03,Onions,1.8
2025-01-04,Rice (Bomba),67.872
2025-01-04,Seafood Mix,116.4
2025-01-04,Olive Oil,26.65
2025-01-04,Wine Bottle (Red),16.2
2025-01-04,Beer Keg (30L),43.2
2025-01-04,Sangria Mix,108.0
2025-01-04,Coffee Beans,1.621
2025-01-04,Chicken,11.615
2025-01-04,Potatoes,18.382
2025-01-04,Lettuce,3.3
2025-01-04,Eggs,63.0
2025-01-04,Onions,2.1
2025-01-04,Beef Steak,0.9
2025-01-05,Wine Bottle (Red),20.25
2025-01-05,Sangria Mix,106.0
2025-01-05,Rice (Bomba),66.054
2025-01-05,Seafood Mix,113.6
2025-01-05,Olive Oil,25.95
2025-01-05,Beer Keg (30L),39.0
2025-01-05,Coffee Beans,1.7574
2025-01-05,Chicken,10.504
2025-01-05,Potatoes,16.766
2025-01-05,Lettuce,3.2
2025-01-05,Eggs,51.0
2025-01-05,Onions,1.7
2025-01-05,Beef Steak,0.6
2025-01-06,Rice (Bomba),47.4195
2025-01-06,Seafood Mix,83.05
2025-01-06,Olive Oil,19.55
2025-01-06,Coffee Beans,1.4241
2025-01-06,Sangria Mix,87.0
2025-01-06,Wine Bottle (Red),12.3
2025-01-06,Beer Keg (30L),33.3
2025-01-06,Chicken,5.757
2025-01-06,Potatoes,11.716
2025-01-06,Lettuce,1.9
2025-01-06,Eggs,48.0
2025-01-06,Onions,1.6
2025-01-06,Beef Steak,0.6
2025-01-07,Rice (Bomba),34.239
2025-01-07,Seafood Mix,58.7
2025-01-07,Olive Oil,13.6
2025-01-07,Sangria Mix,53.0
2025-01-07,Coffee Beans,0.9393
2025-01-07,Wine Bottle (Red),8.4
2025-01-07,Beer Keg (30L),21.6
2025-01-07,Chicken,5.858
2025-01-07,Potatoes,10.1
2025-01-07,Lettuce,1.8
2025-01-07,Eggs,30.0
2025-01-07,Onions,1.0
2025-01-08,Wine Bottle (Red),13.95
2025-01-08,Rice (Bomba),57.267
2025-01-08,Seafood Mix,96.7
2025-01-08,Olive Oil,21.1
2025-01-08,Beer Keg (30L),41.4
2025-01-08,Coffee Beans,1.0757
2025-01-08,Sangria Mix,102.0
2025-01-08,Chicken,8.585
2025-01-08,Potatoes,11.615
2025-01-08,Lettuce,2.7
2025-01-08,Eggs,39.0
2025-01-08,Onions,1.3
2025-01-08,Beef Steak,0.9
2025-01-09,Sangria Mix,118.0
2025-01-09,Rice (Bomba),59.994
2025-01-09,Seafood Mix,102.6
2025-01-09,Olive Oil,23.7
2025-01-09,Coffee Beans,1.7725
2025-01-09,Wine Bottle (Red),15.45
2025-01-09,Beer Keg (30L),43.2
2025-01-09,Chicken,9.393
2025-01-09,Potatoes,17.271
2025-01-09,Lettuce,2.7
2025-01-09,Eggs,63.0
2025-01-09,Onions,2.1
2025-01-09,Beef Steak,0.9
2025-01-10,Rice (Bomba),64.0845
2025-01-10,Seafood Mix,109.75
2025-01-10,Olive Oil,26.15
2025-01-10,Sangria Mix,113.0
2025-01-10,Coffee Beans,2.0149
2025-01-10,Beer Keg (30L),37.5
2025-01-10,Wine Bottle (Red),17.1
2025-01-10,Chicken,6.464
2025-01-10,Potatoes,19.594
2025-01-10,Lettuce,2.0
2025-01-10,Eggs,102.0
2025-01-10,Onions,3.4
2025-01-10,Beef Steak,0.9
2025-01-11,Sangria Mix,111.0
2025-01-11,Rice (Bomba),64.236
2025-01-11,Seafood Mix,109.2
2025-01-11,Olive Oil,24.9
2025-01-11,Beer Keg (30L),47.1
2025-01-11,Coffee Beans,1.9089
2025-01-11,Wine Bottle (Red),13.8
2025-01-11,Chicken,9.999
2025-01-11,Potatoes,16.968
2025-01-11,Lettuce,2.5
2025-01-11,Eggs,66.0
2025-01-11,Onions,2.2
2025-01-11,Beef Steak,0.3
2025-01-12,Rice (Bomba),65.751
2025-01-12,Seafood Mix,111.7
2025-01-12,Olive Oil,25.3
2025-01-12,Beer Keg (30L),42.3
2025-01-12,Sangria Mix,130.0
2025-01-12,Coffee Beans,1.8937
2025-01-12,Wine Bottle (Red),14.55
2025-01-12,Chicken,9.595
2025-01-12,Potatoes,16.564
2025-01-12,Lettuce,2.9
2025-01-12,Eggs,66.0
2025-01-12,Onions,2.2
2025-01-12,Beef Steak,0.6
2025-01-13,Rice (Bomba),60.4485
2025-01-13,Seafood Mix,103.15
2025-01-13,Olive Oil,23.45
2025-01-13,Coffee Beans,1.2877
2025-01-13,Wine Bottle (Red),14.7
2025-01-13,Sangria Mix,103.0
2025-01-13,Beer Keg (30L),37.5
2025-01-13,Chicken,8.181
2025-01-13,Potatoes,14.948
2025-01-13,Lettuce,2.3
2025-01-13,Eggs,60.0
2025-01-13,Onions,2.0
2025-01-13,Beef Steak,1.2
2025-01-14,Rice (Bomba),71.0535
2025-01-14,Seafood Mix,122.85
2025-01-14,Olive Oil,28.1
2025-01-14,Beer Keg (30L),48.6
2025-01-14,Coffee Beans,1.515
2025-01-14,Sangria Mix,114.0
2025-01-14,Wine Bottle (Red),18.15
2025-01-14,Chicken,10.908
2025-01-14,Potatoes,16.968
2025-01-14,Lettuce,3.2
2025-01-14,Eggs,63.0
2025-01-14,Onions,2.1
2025-01-14,Beef Steak,1.2
2025-01-15,Rice (Bomba),66.357
2025-01-15,Seafood Mix,112.7
2025-01-15,Olive Oil,25.65
2025-01-15,Wine Bottle (Red),17.4
2025-01-15,Beer Keg (30L),46.5
2025-01-15,Coffee Beans,1.6665
2025-01-15,Sangria Mix,99.0
2025-01-15,Chicken,9.393
2025-01-15,Potatoes,17.877
2025-01-15,Lettuce,2.7
