menu_item,ingredient,quantity
Patatas Bravas,Potatoes,0.3
Patatas Bravas,Olive Oil,0.05
Tortilla Espanola,Eggs,3
Tortilla Espanola,Potatoes,0.2
Tortilla Espanola,Onions,0.1
Tortilla Espanola,Olive Oil,0.05
Gambas al Ajillo,Seafood Mix,0.2
Gambas al Ajillo,Olive Oil,0.1
Seafood Paella,Rice (Bomba),0.15
Seafood Paella,Seafood Mix,0.25
Seafood Paella,Olive Oil,0.05
Grilled Steak,Beef Steak,0.3
Grilled Steak,Potatoes,0.2
Chicken Roast,Chicken,0.4
Chicken Roast,Potatoes,0.2
Estrella Damm (Caña),Beer Keg (30L),0.3
Sangria Jug,Sangria Mix,1.0
Glass of Rioja,Wine Bottle (Red),0.15
Cortado,Coffee Beans,0.015
Menu del Dia,Chicken,0.3
Menu del Dia,Potatoes,0.2
Menu del Dia,Lettuce,0.1
Menu del Dia,Beer Keg (30L),0.3
