date,menu_item,quantity
2025-01-01,Chicken Roast,2
2025-01-01,Cortado,107
2025-01-01,Estrella Damm (Caña),96
2025-01-01,Gambas al Ajillo,20
2025-01-01,Glass of Rioja,102
2025-01-01,Grilled Steak,3
2025-01-01,Menu del Dia,36
2025-01-01,Patatas Bravas,20
2025-01-01,Sangria Jug,79
2025-01-01,Seafood Paella,398
2025-01-01,Tortilla Espanola,20
2025-01-02,Chicken Roast,4
2025-01-02,Cortado,107
2025-01-02,Estrella Damm (Caña),104
2025-01-02,Gambas al Ajillo,22
2025-01-02,Glass of Rioja,93
2025-01-02,Grilled Steak,2
2025-01-02,Menu del Dia,27
2025-01-02,Patatas Bravas,19
2025-01-02,Sangria Jug,105
2025-01-02,Seafood Paella,424
2025-01-02,Tortilla Espanola,18
2025-01-03,Chicken Roast,4
2025-01-03,Cortado,108
2025-01-03,Estrella Damm (Caña),115
2025-01-03,Gambas al Ajillo,24
2025-01-03,Glass of Rioja,133
2025-01-03,Menu del Dia,26
2025-01-03,Patatas Bravas,13
2025-01-03,Sangria Jug,105
2025-01-03,Seafood Paella,436
2025-01-03,Tortilla Espanola,18
2025-01-04,Chicken Roast,4
2025-01-04,Cortado,105
2025-01-04,Estrella Damm (Caña),107
2025-01-04,Gambas al Ajillo,22
2025-01-04,Glass of Rioja,106
2025-01-04,Grilled Steak,3
2025-01-04,Menu del Dia,31
2025-01-04,Patatas Bravas,19
2025-01-04,Sangria Jug,106
2025-01-04,Seafood Paella,441
2025-01-04,Tortilla Espanola,21
2025-01-05,Chicken Roast,2
2025-01-05,Cortado,112
2025-01-05,Estrella Damm (Caña),97
2025-01-05,Gambas al Ajillo,23
2025-01-05,Glass of Rioja,131
2025-01-05,Grilled Steak,2
2025-01-05,Menu del Dia,31
2025-01-05,Patatas Bravas,20
2025-01-05,Sangria Jug,104
2025-01-05,Seafood Paella,427
2025-01-05,Tortilla Espanola,17
2025-01-06,Cortado,93
2025-01-06,Estrella Damm (Caña),89
2025-01-06,Gambas al Ajillo,24
2025-01-06,Glass of Rioja,79
2025-01-06,Grilled Steak,2
2025-01-06,Menu del Dia,18
2025-01-06,Patatas Bravas,14
2025-01-06,Sangria Jug,84
2025-01-06,Seafood Paella,308
2025-01-06,Tortilla Espanola,16
2025-01-07,Chicken Roast,1
2025-01-07,Cortado,61
2025-01-07,Estrella Damm (Caña),53
2025-01-07,Gambas al Ajillo,11
2025-01-07,Glass of Rioja,56
2025-01-07,Menu del Dia,18
2025-01-07,Patatas Bravas,14
2025-01-07,Sangria Jug,53
2025-01-07,Seafood Paella,221
2025-01-07,Tortilla Espanola,10
2025-01-08,Chicken Roast,1
2025-01-08,Cortado,70
2025-01-08,Estrella Damm (Caña),109
2025-01-08,Gambas al Ajillo,10
2025-01-08,Glass of Rioja,93
2025-01-08,Grilled Steak,3
2025-01-08,Menu del Dia,27
2025-01-08,Patatas Bravas,9
2025-01-08,Sangria Jug,99
2025-01-08,Seafood Paella,366
2025-01-08,Tortilla Espanola,13
2025-01-09,Chicken Roast,3
2025-01-09,Cortado,113
2025-01-09,Estrella Damm (Caña),114
2025-01-09,Gambas al Ajillo,18
2025-01-09,Glass of Rioja,102
2025-01-09,Grilled Steak,3
2025-01-09,Menu del Dia,27
2025-01-09,Patatas Bravas,20
2025-01-09,Sangria Jug,117
2025-01-09,Seafood Paella,389
2025-01-09,Tortilla Espanola,21
2025-01-10,Chicken Roast,1
2025-01-10,Cortado,131
2025-01-10,Estrella Damm (Caña),104
2025-01-10,Gambas al Ajillo,20
2025-01-10,Glass of Rioja,112
2025-01-10,Grilled Steak,3
2025-01-10,Menu del Dia,20
2025-01-10,Patatas Bravas,25
2025-01-10,Sangria Jug,109
2025-01-10,Seafood Paella,412
2025-01-10,Tortilla Espanola,33
2025-01-11,Chicken Roast,5
2025-01-11,Cortado,124
2025-01-11,Estrella Damm (Caña),127
2025-01-11,Gambas al Ajillo,16
2025-01-11,Glass of Rioja,92
2025-01-11,Grilled Steak,1
2025-01-11,Menu del Dia,23
2025-01-11,Patatas Bravas,20
2025-01-11,Sangria Jug,111
2025-01-11,Seafood Paella,418
2025-01-11,Tortilla Espanola,21
2025-01-12,Chicken Roast,2
2025-01-12,Cortado,122
2025-01-12,Estrella Damm (Caña),111
2025-01-12,Gambas al Ajillo,15
2025-01-12,Glass of Rioja,96
2025-01-12,Grilled Steak,2
2025-01-12,Menu del Dia,29
2025-01-12,Patatas Bravas,18
2025-01-12,Sangria Jug,127
2025-01-12,Seafood Paella,420
2025-01-12,Tortilla Espanola,22
2025-01-13,Chicken Roast,3
2025-01-13,Cortado,83
2025-01-13,Estrella Damm (Caña),100
2025-01-13,Gambas al Ajillo,17
2025-01-13,Glass of Rioja,94
2025-01-13,Grilled Steak,4
2025-01-13,Menu del Dia,22
2025-01-13,Patatas Bravas,16
2025-01-13,Sangria Jug,101
2025-01-13,Seafood Paella,392
2025-01-13,Tortilla Espanola,19
2025-01-14,Chicken Roast,3
2025-01-14,Cortado,98
2025-01-14,Estrella Damm (Caña),127
2025-01-14,Gambas al Ajillo,27
2025-01-14,Glass of Rioja,119
2025-01-14,Grilled Steak,4
2025-01-14,Menu del Dia,31
2025-01-14,Patatas Bravas,16
2025-01-14,Sangria Jug,111
2025-01-14,Seafood Paella,461
2025-01-14,Tortilla Espanola,21
2025-01-15,Chicken Roast,3
2025-01-15,Cortado,107
2025-01-15,Estrella Damm (Caña),126
2025-01-15,Gambas al Ajillo,16
2025-01-15,Glass of Rioja,112
2025-01-15,Grilled Steak,3
2025-01-15,Menu del Dia,26
2025-01-15,Patatas Bravas,25
2025-01-15,Sangria Jug,96
2025-01-15,Seafood Paella,432
2025-01-15,Tortilla Espanola,18
2025-01-16,Cortado,98
2025-01-16,Estrella Damm (Caña),95
2025-01-16,Gambas al Ajillo,15
2025-01-16,Glass of Rioja,82
2025-01-16,Grilled Steak,1
2025-01-16,Menu del Dia,21
2025-01-16,Patatas Bravas,12
2025-01-16,Sangria Jug,91
2025-01-16,Seafood Paella,340
2025-01-16,Tortilla Espanola,20
2025-01-17,Chicken Roast,2
2025-01-17,Cortado,87
2025-01-17,Estrella Damm (Caña),97
2025-01-17,Gambas al Ajillo,19
2025-01-17,Glass of Rioja,88
2025-01-17,Grilled Steak,5
2025-01-17,Menu del Dia,19
2025-01-17,Patatas Bravas,18
2025-01-17,Sangria Jug,99
2025-01-17,Seafood Paella,375
2025-01-17,Tortilla Espanola,14
2025-01-18,Chicken Roast,1
2025-01-18,Cortado,95
2025-01-18,Estrella Damm (Caña),98
2025-01-18,Gambas al Ajillo,21
2025-01-18,Glass of Rioja,94
2025-01-18,Grilled Steak,2
2025-01-18,Menu del Dia,18
2025-01-18,Patatas Bravas,13
2025-01-18,Sangria Jug,75
2025-01-18,Seafood Paella,344
2025-01-18,Tortilla Espanola,20
