name,category,cost_per_unit,unit,par_level,reorder_threshold,lead_time_days,shelf_life_days
Bomba Rice,Food,2.0,kg,600.0,200.0,2,180
Mixed Seafood,Food,12.0,kg,400.0,160.0,1,2
Potatoes,Food,0.8,kg,1200.0,500.0,2,14
Eggs,Food,0.2,piece,6000.0,3000.0,2,21
Red Wine,Beverage,4.0,bottle,2500.0,1200.0,3,365
Milk,Beverage,0.9,liter,300.0,100.0,1,7
Sugar,Pantry,1.0,kg,100.0,40.0,2,365
Saffron,Pantry,5.0,g,100.0,40.0,5,365
Olive Oil,Pantry,6.0,liter,400.0,160.0,2,365
Mineral Water,Beverage,0.5,bottle,1000.0,300.0,1,365
