menu_item_name,ingredient_name,quantity
Patatas Bravas,Potatoes,0.3
Patatas Bravas,Olive Oil,0.05
Seafood Paella (for 2),Bomba Rice,0.2
Seafood Paella (for 2),Mixed Seafood,0.4
Seafood Paella (for 2),Saffron,0.001
Seafood Paella (for 2),Olive Oil,0.05
Tortilla Española,Potatoes,0.2
Tortilla Española,Eggs,4.0
Tortilla Española,Olive Oil,0.05
Crema Catalana,Milk,0.2
Crema Catalana,Eggs,2.0
Crema Catalana,Sugar,0.05
House Red Wine,Red Wine,1.0
Menu del Día,Potatoes,0.2
Menu del Día,Eggs,1.0
Menu del Día,Milk,0.1
Menu del Día,Olive Oil,0.05
Mineral Water,Mineral Water,1.0
